ID,Vehicles
20170701001,68
20170701011,54
20170701021,41
20170701031,42
20170701041,36
20170701051,36
20170701061,36
20170701071,36
20170701081,38
20170701091,52
20170701101,54
20170701111,54
20170701121,54
20170701131,54
20170701141,54
20170701151,56
20170701161,58
20170701171,56
20170701181,58
20170701191,65
20170701201,64
20170701211,64
20170701221,64
20170701231,63
20170702001,49
20170702011,44
20170702021,35
20170702031,33
20170702041,27
20170702051,27
20170702061,27
20170702071,32
20170702081,37
20170702091,44
20170702101,52
20170702111,56
20170702121,60
20170702131,60
20170702141,54
20170702151,54
20170702161,56
20170702171,56
20170702181,59
20170702191,75
20170702201,56
20170702211,56
20170702221,72
20170702231,59
20170703001,59
20170703011,51
20170703021,42
20170703031,40
20170703041,29
20170703051,33
20170703061,38
20170703071,48
20170703081,55
20170703091,68
20170703101,88
20170703111,110
20170703121,110
20170703131,110
20170703141,110
20170703151,110
20170703161,110
20170703171,110
20170703181,110
20170703191,110
20170703201,110
20170703211,95
20170703221,95
20170703231,95
20170704001,86
20170704011,75
20170704021,63
20170704031,51
20170704041,43
20170704051,41
20170704061,46
20170704071,52
20170704081,57
20170704091,68
20170704101,88
20170704111,110
20170704121,110
20170704131,110
20170704141,110
20170704151,110
20170704161,110
20170704171,110
20170704181,110
20170704191,110
20170704201,110
20170704211,95
20170704221,95
20170704231,95
20170705001,86
20170705011,76
20170705021,63
20170705031,55
20170705041,43
20170705051,40
20170705061,44
20170705071,54
20170705081,57
20170705091,68
20170705101,88
20170705111,110
20170705121,110
20170705131,110
20170705141,110
20170705151,110
20170705161,110
20170705171,110
20170705181,110
20170705191,110
20170705201,110
20170705211,95
20170705221,95
20170705231,95
20170706001,86
20170706011,76
20170706021,63
20170706031,48
20170706041,45
20170706051,42
20170706061,49
20170706071,50
20170706081,58
20170706091,68
20170706101,104
20170706111,110
20170706121,110
20170706131,110
20170706141,110
20170706151,110
20170706161,110
20170706171,110
20170706181,110
20170706191,110
20170706201,110
20170706211,95
20170706221,95
20170706231,95
20170707001,86
20170707011,76
20170707021,60
20170707031,49
20170707041,47
20170707051,46
20170707061,44
20170707071,52
20170707081,57
20170707091,68
20170707101,95
20170707111,95
20170707121,95
20170707131,95
20170707141,95
20170707151,95
20170707161,95
20170707171,90
20170707181,95
20170707191,105
20170707201,96
20170707211,90
20170707221,84
20170707231,75
20170708001,68
20170708011,54
20170708021,47
20170708031,42
20170708041,36
20170708051,36
20170708061,36
20170708071,36
20170708081,35
20170708091,52
20170708101,54
20170708111,54
20170708121,54
20170708131,54
20170708141,54
20170708151,56
20170708161,58
20170708171,56
20170708181,58
20170708191,65
20170708201,64
20170708211,64
20170708221,64
20170708231,63
20170709001,49
20170709011,44
20170709021,41
20170709031,40
20170709041,27
20170709051,27
20170709061,27
20170709071,42
20170709081,37
20170709091,44
20170709101,52
20170709111,56
20170709121,60
20170709131,60
20170709141,54
20170709151,54
20170709161,59
20170709171,59
20170709181,59
20170709191,75
20170709201,56
20170709211,56
20170709221,68
20170709231,59
20170710001,59
20170710011,51
20170710021,42
20170710031,40
20170710041,29
20170710051,33
20170710061,38
20170710071,48
20170710081,55
20170710091,68
20170710101,88
20170710111,110
20170710121,110
20170710131,110
20170710141,110
20170710151,110
20170710161,110
20170710171,110
20170710181,110
20170710191,110
20170710201,110
20170710211,95
20170710221,95
20170710231,95
20170711001,86
20170711011,75
20170711021,63
20170711031,51
20170711041,43
20170711051,41
20170711061,46
20170711071,52
20170711081,57
20170711091,68
20170711101,88
20170711111,110
20170711121,110
20170711131,110
20170711141,110
20170711151,110
20170711161,110
20170711171,110
20170711181,110
20170711191,110
20170711201,110
20170711211,95
20170711221,95
20170711231,95
20170712001,86
20170712011,76
20170712021,63
20170712031,55
20170712041,43
20170712051,40
20170712061,44
20170712071,54
20170712081,57
20170712091,68
20170712101,90
20170712111,110
20170712121,110
20170712131,110
20170712141,110
20170712151,110
20170712161,110
20170712171,110
20170712181,110
20170712191,110
20170712201,110
20170712211,95
20170712221,95
20170712231,95
20170713001,86
20170713011,76
20170713021,63
20170713031,48
20170713041,45
20170713051,39
20170713061,49
20170713071,50
20170713081,58
20170713091,68
20170713101,104
20170713111,110
20170713121,110
20170713131,110
20170713141,110
20170713151,110
20170713161,110
20170713171,110
20170713181,110
20170713191,110
20170713201,110
20170713211,95
20170713221,95
20170713231,95
20170714001,86
20170714011,76
20170714021,60
20170714031,49
20170714041,39
20170714051,45
20170714061,44
20170714071,52
20170714081,57
20170714091,68
20170714101,95
20170714111,95
20170714121,95
20170714131,95
20170714141,95
20170714151,95
20170714161,95
20170714171,90
20170714181,95
20170714191,105
20170714201,96
20170714211,90
20170714221,84
20170714231,75
20170715001,68
20170715011,54
20170715021,40
20170715031,42
20170715041,36
20170715051,36
20170715061,36
20170715071,36
20170715081,38
20170715091,52
20170715101,54
20170715111,54
20170715121,54
20170715131,54
20170715141,54
20170715151,56
20170715161,58
20170715171,56
20170715181,58
20170715191,65
20170715201,64
20170715211,64
20170715221,64
20170715231,63
20170716001,49
20170716011,44
20170716021,34
20170716031,28
20170716041,27
20170716051,27
20170716061,27
20170716071,32
20170716081,37
20170716091,44
20170716101,49
20170716111,49
20170716121,49
20170716131,49
20170716141,49
20170716151,49
20170716161,49
20170716171,49
20170716181,59
20170716191,75
20170716201,56
20170716211,56
20170716221,61
20170716231,59
20170717001,59
20170717011,51
20170717021,35
20170717031,40
20170717041,29
20170717051,32
20170717061,38
20170717071,48
20170717081,55
20170717091,68
20170717101,88
20170717111,110
20170717121,110
20170717131,110
20170717141,110
20170717151,110
20170717161,110
20170717171,110
20170717181,110
20170717191,110
20170717201,110
20170717211,95
20170717221,95
20170717231,95
20170718001,86
20170718011,75
20170718021,63
20170718031,51
20170718041,43
20170718051,41
20170718061,46
20170718071,52
20170718081,57
20170718091,68
20170718101,88
20170718111,110
20170718121,110
20170718131,110
20170718141,110
20170718151,110
20170718161,110
20170718171,110
20170718181,110
20170718191,110
20170718201,110
20170718211,95
20170718221,95
20170718231,95
20170719001,86
20170719011,76
20170719021,63
20170719031,55
20170719041,43
20170719051,40
20170719061,44
20170719071,54
20170719081,57
20170719091,68
20170719101,88
20170719111,110
20170719121,110
20170719131,110
20170719141,110
20170719151,110
20170719161,110
20170719171,110
20170719181,110
20170719191,110
20170719201,110
20170719211,95
20170719221,95
20170719231,95
20170720001,86
20170720011,76
20170720021,63
20170720031,48
20170720041,42
20170720051,42
20170720061,49
20170720071,50
20170720081,58
20170720091,68
20170720101,104
20170720111,110
20170720121,110
20170720131,110
20170720141,110
20170720151,110
20170720161,110
20170720171,110
20170720181,110
20170720191,110
20170720201,110
20170720211,95
20170720221,95
20170720231,95
20170721001,86
20170721011,76
20170721021,60
20170721031,52
20170721041,43
20170721051,41
20170721061,44
20170721071,52
20170721081,57
20170721091,68
20170721101,95
20170721111,95
20170721121,95
20170721131,95
20170721141,95
20170721151,95
20170721161,95
20170721171,90
20170721181,95
20170721191,105
20170721201,96
20170721211,90
20170721221,84
20170721231,75
20170722001,68
20170722011,54
20170722021,47
20170722031,42
20170722041,36
20170722051,36
20170722061,36
20170722071,36
20170722081,38
20170722091,52
20170722101,54
20170722111,54
20170722121,54
20170722131,54
20170722141,54
20170722151,56
20170722161,58
20170722171,56
20170722181,58
20170722191,65
20170722201,64
20170722211,64
20170722221,64
20170722231,63
20170723001,49
20170723011,44
20170723021,35
20170723031,38
20170723041,27
20170723051,27
20170723061,27
20170723071,34
20170723081,37
20170723091,44
20170723101,53
20170723111,52
20170723121,62
20170723131,57
20170723141,53
20170723151,53
20170723161,49
20170723171,54
20170723181,59
20170723191,75
20170723201,64
20170723211,65
20170723221,65
20170723231,59
20170724001,59
20170724011,51
20170724021,42
20170724031,40
20170724041,29
20170724051,35
20170724061,38
20170724071,48
20170724081,55
20170724091,68
20170724101,88
20170724111,110
20170724121,110
20170724131,110
20170724141,110
20170724151,110
20170724161,110
20170724171,110
20170724181,110
20170724191,110
20170724201,110
20170724211,95
20170724221,95
20170724231,95
20170725001,86
20170725011,75
20170725021,63
20170725031,51
20170725041,43
20170725051,41
20170725061,46
20170725071,52
20170725081,57
20170725091,68
20170725101,88
20170725111,110
20170725121,110
20170725131,110
20170725141,110
20170725151,110
20170725161,110
20170725171,110
20170725181,110
20170725191,110
20170725201,110
20170725211,95
20170725221,95
20170725231,95
20170726001,86
20170726011,76
20170726021,63
20170726031,55
20170726041,43
20170726051,40
20170726061,44
20170726071,54
20170726081,57
20170726091,68
20170726101,88
20170726111,110
20170726121,110
20170726131,110
20170726141,110
20170726151,110
20170726161,110
20170726171,110
20170726181,110
20170726191,110
20170726201,110
20170726211,95
20170726221,95
20170726231,95
20170727001,86
20170727011,76
20170727021,63
20170727031,48
20170727041,45
20170727051,41
20170727061,49
20170727071,50
20170727081,58
20170727091,68
20170727101,104
20170727111,110
20170727121,110
20170727131,110
20170727141,110
20170727151,110
20170727161,110
20170727171,110
20170727181,110
20170727191,110
20170727201,110
20170727211,95
20170727221,95
20170727231,95
20170728001,86
20170728011,70
20170728021,60
20170728031,49
20170728041,44
20170728051,41
20170728061,45
20170728071,52
20170728081,57
20170728091,68
20170728101,95
20170728111,95
20170728121,95
20170728131,95
20170728141,95
20170728151,95
20170728161,95
20170728171,90
20170728181,95
20170728191,105
20170728201,96
20170728211,90
20170728221,84
20170728231,75
20170729001,68
20170729011,54
20170729021,42
20170729031,42
20170729041,36
20170729051,36
20170729061,36
20170729071,36
20170729081,35
20170729091,52
20170729101,54
20170729111,54
20170729121,54
20170729131,54
20170729141,54
20170729151,56
20170729161,58
20170729171,56
20170729181,58
20170729191,65
20170729201,64
20170729211,64
20170729221,64
20170729231,63
20170730001,49
20170730011,44
20170730021,35
20170730031,33
20170730041,27
20170730051,27
20170730061,27
20170730071,32
20170730081,37
20170730091,44
20170730101,42
20170730111,42
20170730121,42
20170730131,42
20170730141,42
20170730151,45
20170730161,45
20170730171,45
20170730181,53
20170730191,58
20170730201,58
20170730211,58
20170730221,58
20170730231,58
20170731001,59
20170731011,51
20170731021,42
20170731031,40
20170731041,29
20170731051,33
20170731061,38
20170731071,48
20170731081,55
20170731091,68
20170731101,88
20170731111,97
20170731121,97
20170731131,97
20170731141,97
20170731151,97
20170731161,97
20170731171,97
20170731181,99
20170731191,100
20170731201,99
20170731211,95
20170731221,95
20170731231,95
20170801001,86
20170801011,75
20170801021,63
20170801031,51
20170801041,43
20170801051,41
20170801061,46
20170801071,52
20170801081,57
20170801091,68
20170801101,88
20170801111,110
20170801121,110
20170801131,110
20170801141,110
20170801151,110
20170801161,110
20170801171,110
20170801181,110
20170801191,110
20170801201,110
20170801211,95
20170801221,95
20170801231,95
20170802001,86
20170802011,76
20170802021,63
20170802031,55
20170802041,43
20170802051,40
20170802061,46
20170802071,54
20170802081,57
20170802091,68
20170802101,88
20170802111,110
20170802121,110
20170802131,110
20170802141,110
20170802151,110
20170802161,110
20170802171,110
20170802181,110
20170802191,110
20170802201,110
20170802211,95
20170802221,95
20170802231,95
20170803001,86
20170803011,76
20170803021,63
20170803031,48
20170803041,45
20170803051,41
20170803061,49
20170803071,50
